DATE,Price
2022-11-07,20786.74767361108
2023-02-23,24145.694513888928
2022-04-03,46349.73545138889
2022-10-25,19598.378298611096
2023-02-25,23080.2576388889
2022-12-29,16599.12371527776
2022-07-31,23757.025729166555
2023-07-28,29264.949097222245
2023-04-26,28835.1400347223
2022-03-06,39085.697777777685
2023-03-10,19983.43940972218
2023-08-08,29446.353611111113
2023-09-18,26869.021736111124
2022-02-13,42395.719479166626
2022-03-28,47254.495763888954
2022-08-15,24293.733958333327
2023-10-07,27954.96194444447
2022-01-25,36556.568819444474
2022-06-20,20315.997916666704
2022-12-05,17191.939375000027
2023-03-25,27530.46604166663
2023-09-24,26594.136111111064
2022-07-18,21818.275173611033
2022-01-16,43147.720138889126
2022-05-08,34604.87295138885
2022-06-29,20166.441805555598
2022-08-28,20036.29819444443
2023-06-04,27191.871388888798
2022-07-05,20013.65736111116
2023-07-04,31012.14920138888
2022-09-04,19827.345555555527
2022-07-09,21631.54125000003
2023-07-11,30518.87743055545
2022-06-25,21277.18687500008
2023-10-16,27921.28218749998
2023-04-19,29600.62631944446
2022-09-22,18987.553645833388
2022-08-04,22879.502430555538
2022-09-12,22123.947777777772
2023-04-27,29159.437048611133
2022-01-10,41659.894861111105
2022-02-09,43973.968229166836
2023-09-28,26676.505069444433
2023-01-31,22976.725416666697
2022-04-21,41706.92097222212
2023-04-16,30346.936249999962
2023-03-24,28000.742916666655
2023-09-12,25880.84690972222
2022-02-21,38562.95763888886
2022-08-01,23260.798819444462
2022-10-14,19527.977638888875
2023-01-05,16844.603576388894
2023-10-13,26825.40972222221
